direct_distance,road_distance,num_l_turns,num_r_turns,num_straights,median_angle,total_angle,mean_angle,std_angle,max_angle,min_angle,median_pivot_off,mean_pivot_off,std_pivot_off,max_pivot_off,min_pivot_off,start_time,end_time,duration_seconds,safety
40.0,1808.2189522358597,7,7,2,180.0,2490,177.85714285714286,121.31297018329852,345,15,22.0,24.5,12.642050014591328,47,2,2020-05-06T14:35:21.876400,2020-05-06T14:36:17.288906,55.412506,safe
127.18008183839729,1797.781129742234,7,7,4,172.5,2565,183.21428571428572,118.40618864824627,345,45,29.5,28.428571428571427,12.453996981544782,42,7,2020-05-06T14:36:19.183707,2020-05-06T14:37:16.824346,57.640639,safe
40.0,2007.9695519073894,9,10,3,105.0,3195,168.1578947368421,128.25971314727198,345,15,12.0,17.526315789473685,14.49997611995359,47,2,2020-05-06T14:37:17.513858,2020-05-06T14:38:12.473230,54.959372,safe
167.6622457812031,1225.3933571294885,5,5,1,172.5,1875,187.5,130.12013679673103,345,15,39.5,35.0,11.0,47,7,2020-05-06T14:38:12.750759,2020-05-06T14:38:57.181426,44.430667,safe
149.89329538041386,1951.9985816923402,6,4,1,270.0,2235,223.5,105.52369402176934,330,75,29.5,30.5,9.5,42,17,2020-05-06T14:38:57.808429,2020-05-06T14:39:46.241375,48.432946,safe
31.131320418692635,1505.746403419444,8,5,4,285.0,2820,216.92307692307693,125.99661872048028,345,15,27.0,28.153846153846153,12.733034890189884,47,7,2020-05-06T14:39:46.746408,2020-05-06T14:40:35.377548,48.63114,safe
6.545009041319231,1826.9707269391904,10,9,1,255.0,3645,191.8421052631579,126.21212851798971,345,15,17.0,22.0,12.773327473170102,47,2,2020-05-06T14:40:36.227069,2020-05-06T14:41:07.031731,30.804662,unsafe
20.0,1474.0208329491265,7,5,4,277.5,2505,208.75,126.16333659189583,345,30,24.5,25.333333333333332,12.963624321753372,47,2,2020-05-06T14:41:08.492253,2020-05-06T14:41:56.325126,47.832873,safe
270.7840377976009,2069.710828256572,5,7,3,112.5,1695,141.25,93.36587974201282,255,15,24.5,23.25,12.767961205037135,47,2,2020-05-06T14:41:57.185615,2020-05-06T14:42:39.266171,42.080556,unsafe
167.74661140877944,235.7327001158297,1,1,1,187.5,375,187.5,67.5,255,120,14.5,14.5,12.5,27,2,2020-05-06T14:42:40.086898,2020-05-06T14:43:08.642436,28.555538,safe
205.2997808084558,1981.1201125106113,4,7,4,90.0,1545,140.45454545454547,101.38707433876966,285,15,32.0,27.454545454545453,12.331509060227761,47,7,2020-05-06T14:43:09.716659,2020-05-06T14:44:01.684872,51.968213,safe
88.31123842161416,1403.0075563673863,7,7,2,187.5,2565,183.21428571428572,140.3898544214994,345,15,32.0,29.857142857142858,12.91652951430366,47,7,2020-05-06T14:44:02.558514,2020-05-06T14:44:48.038093,45.479579,safe
146.402635769407,1655.4642372594626,7,7,1,172.5,2490,177.85714285714286,120.38204490161262,345,15,27.0,23.785714285714285,13.175619104069083,42,2,2020-05-06T14:44:48.464139,2020-05-06T14:45:40.136969,51.67283,safe
134.57702793083573,2239.7062543151487,7,7,4,180.0,2670,190.71428571428572,107.93280222396882,345,30,27.0,25.571428571428573,14.069796859708722,47,2,2020-05-06T14:45:41.725618,2020-05-06T14:46:38.773704,57.048086,safe
205.2997808084558,1661.1289821784062,10,9,3,270.0,3540,186.31578947368422,128.60426964819308,345,15,22.0,22.526315789473685,15.121850419535411,47,2,2020-05-06T14:46:39.480776,2020-05-06T14:47:19.648406,40.16763,unsafe
20.0,1809.2710467561608,8,7,4,240.0,2850,190.0,115.36897329871667,345,15,17.0,21.666666666666668,11.175369742826806,42,7,2020-05-06T14:47:20.383307,2020-05-06T14:48:17.820354,57.437047,safe
270.7840377976009,1380.811821239481,7,5,2,255.0,2595,216.25,117.86512418862503,345,15,17.0,20.75,14.306903927824496,47,2,2020-05-06T14:48:18.649820,2020-05-06T14:48:49.790870,31.14105,unsafe
95.85405573057407,2680.482411068778,10,10,5,180.0,3675,183.75,120.1756526922155,345,15,27.0,26.0,11.022703842524301,47,7,2020-05-06T14:48:52.728029,2020-05-06T14:49:58.219893,65.491864,safe
270.7840377976009,1580.873072237654,5,7,1,105.0,1830,152.5,125.17487767120046,345,15,37.0,34.083333333333336,12.325166214790865,47,2,2020-05-06T14:49:58.617918,2020-05-06T14:50:50.482709,51.864791,safe
134.57702793083573,2251.074235869371,10,8,3,240.0,3465,192.5,116.75294428835618,345,15,22.0,22.833333333333332,14.361406616345072,47,2,2020-05-06T14:50:51.149963,2020-05-06T14:51:51.033719,59.883756,safe
120.09649018010694,1958.7196170068846,6,7,2,105.0,2175,167.30769230769232,109.41479622581261,315,45,27.0,26.23076923076923,13.70656129323497,47,2,2020-05-06T14:51:51.466765,2020-05-06T14:52:44.938524,53.471759,safe
102.38665564547864,1806.0855672041835,6,10,6,90.0,2250,140.625,120.10249529048096,330,15,22.0,21.375,13.678792892649556,42,2,2020-05-06T14:52:45.772001,2020-05-06T14:53:38.681554,52.909553,safe
0.0,2090.677425456837,7,6,2,270.0,2520,193.84615384615384,113.5469040013158,330,15,27.0,23.153846153846153,16.77381729796656,47,2,2020-05-06T14:53:39.126814,2020-05-06T14:54:25.229071,46.102257,unsafe
69.75590131464732,2154.7726988975046,8,9,2,105.0,2910,171.1764705882353,124.23328875386854,345,30,22.0,22.58823529411765,16.0772357279017,47,2,2020-05-06T14:54:25.781616,2020-05-06T14:55:20.612138,54.830522,safe
127.18008183839729,1822.6165103348685,7,12,4,75.0,2580,135.78947368421052,113.87046146591237,330,15,17.0,23.57894736842105,15.048398374206103,47,2,2020-05-06T14:55:21.202683,2020-05-06T14:56:10.122686,48.920003,unsafe
233.21234958723784,2136.644538368703,10,7,5,240.0,3525,207.35294117647058,109.41176470588235,345,45,27.0,21.705882352941178,16.312264263367112,47,2,2020-05-06T14:56:10.729646,2020-05-06T14:56:38.020745,27.291099,unsafe
35.761961271441095,1493.5798873685333,9,10,3,105.0,3210,168.94736842105263,127.26452918158945,345,15,17.0,15.68421052631579,9.575476525610657,32,2,2020-05-06T14:56:38.491545,2020-05-06T14:57:30.375800,51.884255,safe
