direct_distance,road_distance,num_l_turns,num_r_turns,num_straights,median_angle,total_angle,mean_angle,std_angle,max_angle,min_angle,median_pivot_off,mean_pivot_off,std_pivot_off,max_pivot_off,min_pivot_off,start_time,end_time,duration_seconds,safety
303.72804020842824,1758.1554597041834,7,8,1,120.0,2430,162.0,106.09429767899876,315,15,12.0,20.0,15.684387141358123,47,2,2020-05-22T18:21:09.992212,2020-05-22T18:22:24.569625,74.577413,safe
20.0,1525.335049605585,5,4,7,240.0,1755,195.0,109.31605554537722,345,60,27.0,22.555555555555557,13.005222123021806,47,2,2020-05-28T00:21:43.696076,2020-05-28T00:22:52.303295,68.607219,safe
239.43738967899466,1498.9771940943795,4,4,2,172.5,1470,183.75,107.57991215835789,345,45,22.0,25.125,11.709371246996996,42,7,2020-05-28T08:12:14.013220,2020-05-28T08:13:17.839092,63.825872,safe
232.0135528813078,1285.1161963256745,6,3,1,285.0,2130,236.66666666666666,99.1911734424434,345,90,42.0,32.55555555555556,14.989708403591157,47,7,2020-05-28T00:23:26.015528,2020-05-28T00:24:25.359537,59.344009,safe
84.5803907040383,1385.425690991911,8,5,2,300.0,2850,219.23076923076923,122.22057855568025,330,45,22.0,27.76923076923077,15.044313242775344,47,2,2020-05-27T22:21:34.722089,2020-05-27T22:22:39.041184,64.319095,safe
70.3420215802759,2065.405829029951,8,8,1,180.0,2865,179.0625,111.806455957382,330,15,17.0,21.6875,13.971930566317598,47,2,2020-05-22T18:22:24.754629,2020-05-22T18:23:41.411061,76.656432,safe
201.41220129763533,1958.3451957081104,5,9,5,67.5,1770,126.42857142857143,118.07123411962209,345,15,22.0,25.214285714285715,11.589271956848537,42,2,2020-05-28T08:13:18.017618,2020-05-28T08:14:29.159131,71.141513,safe
177.15849370950104,1502.8927119336981,6,6,4,187.5,2115,176.25,110.9264959331178,345,30,22.0,20.75,12.268693220279548,37,2,2020-05-22T18:23:41.619062,2020-05-22T18:24:44.240722,62.62166,unsafe
35.14295454662025,1358.8188731123516,11,9,3,262.5,3975,198.75,136.728517508236,345,15,19.5,20.75,11.818946653572814,42,2,2020-05-28T00:24:59.015023,2020-05-28T00:25:55.142371,56.127348,unsafe
76.2983472850912,2039.7132587342269,12,12,2,172.5,4200,175.0,129.6630247988994,345,15,17.0,18.875,12.975337182516684,47,2,2020-05-28T08:14:29.366133,2020-05-28T08:15:19.365981,49.999848,unsafe
120.09649018010694,1446.8280616839847,7,6,1,270.0,2550,196.15384615384616,135.6346031148769,345,30,32.0,29.307692307692307,10.851335368973759,47,2,2020-05-28T00:26:28.663175,2020-05-28T00:27:28.861493,60.198318,safe
201.41220129763533,2167.077375689321,10,9,2,240.0,3690,194.21052631578948,127.32328473835844,345,15,32.0,27.789473684210527,14.351156004669452,47,2,2020-05-28T08:15:19.502496,2020-05-28T08:16:36.394621,76.892125,safe
20.00875747062484,1720.613944974043,5,6,3,120.0,1860,169.0909090909091,107.42477667944253,330,30,22.0,21.545454545454547,9.875254992000198,37,7,2020-05-28T08:16:36.590589,2020-05-28T08:17:44.816633,68.226044,safe
191.65905615326017,1675.2998283995814,7,5,3,270.0,2505,208.75,112.99197980387811,345,60,22.0,24.916666666666668,14.924578907143598,47,2,2020-05-22T18:24:44.383724,2020-05-22T18:25:51.603579,67.219855,safe
21.3433690545087,1747.8385336913327,6,5,3,240.0,2130,193.63636363636363,118.01561740046621,345,15,22.0,23.818181818181817,16.275012536334685,47,2,2020-05-27T22:26:03.418006,2020-05-27T22:27:12.199901,68.781895,safe
235.3610503545358,1631.8231152420003,7,9,2,120.0,2610,163.125,117.85683847363292,345,30,22.0,20.75,16.056540723331413,47,2,2020-05-22T18:25:51.791551,2020-05-22T18:26:47.014765,55.223214,unsafe
233.21234958723784,2227.920533590968,11,10,5,240.0,3840,182.85714285714286,125.12442786674228,345,15,22.0,22.238095238095237,17.076591501943913,47,2,2020-05-22T18:26:47.151766,2020-05-22T18:28:10.735482,83.583716,safe
270.7840377976009,1977.5475849189763,10,9,4,240.0,3660,192.6315789473684,119.63066431678521,345,15,22.0,22.526315789473685,16.455261264066824,47,2,2020-05-28T00:28:36.142968,2020-05-28T00:29:54.353990,78.211022,safe
205.2997808084558,1928.219778088603,6,7,4,105.0,2130,163.84615384615384,120.78515328647751,330,15,32.0,28.923076923076923,12.940464493277478,47,7,2020-05-28T08:17:44.996621,2020-05-28T08:18:56.990261,71.99364,safe
42.7551166528639,1401.7519017977913,7,8,2,120.0,2445,163.0,132.12115651930995,345,15,22.0,23.333333333333332,16.377491328717664,47,2,2020-05-28T00:30:27.942221,2020-05-28T00:31:31.506338,63.564117,safe
303.72804020842824,1581.8124351744414,5,5,2,180.0,1725,172.5,114.48253141855311,345,45,29.5,27.5,16.347782724271816,47,2,2020-05-28T08:18:57.160784,2020-05-28T08:20:00.789847,63.629063,safe
95.85405573057407,1501.6319448904958,7,7,2,172.5,2550,182.14285714285714,119.039523534267,330,15,22.0,24.857142857142858,11.134612334371354,42,7,2020-05-27T22:29:28.623687,2020-05-27T22:30:39.739019,71.115332,safe
146.402635769407,1461.3726871761837,3,4,8,105.0,1110,158.57142857142858,106.02271608731127,315,15,32.0,27.714285714285715,12.936264483053453,42,2,2020-05-22T18:28:10.982453,2020-05-22T18:29:12.721216,61.738763,safe
208.2081710662985,293.58101220903245,1,1,2,195.0,390,195.0,90.0,285,105,19.5,19.5,17.5,37,2,2020-05-28T00:32:05.218565,2020-05-28T00:32:42.710163,37.491598,safe
20.0,2193.807935001521,8,7,6,240.0,2955,197.0,110.20889256316842,345,45,22.0,23.0,17.530925056406275,47,2,2020-05-22T18:29:12.863220,2020-05-22T18:30:30.661388,77.798168,safe
149.89329538041386,1475.5440364494411,9,10,3,105.0,3270,172.10526315789474,128.2402739666288,345,15,17.0,19.36842105263158,13.115721888818014,47,2,2020-05-27T22:31:13.992509,2020-05-27T22:32:25.382578,71.390069,safe
70.3420215802759,1805.2070334567609,6,5,2,240.0,2040,185.45454545454547,110.64797877327707,330,15,32.0,27.454545454545453,12.694763676153583,47,2,2020-05-27T22:32:25.565569,2020-05-27T22:33:35.636777,70.071208,safe
177.5049295090139,1718.8222809594445,9,5,1,277.5,3165,226.07142857142858,112.45917626645952,345,45,27.0,27.0,7.319250547113999,37,12,2020-05-28T00:32:42.777163,2020-05-28T00:33:55.735462,72.958299,safe
